annotator	(temporary) BGC id	compound name	biological activity 1	biological activity 2	biological activity 3	biological activity 4	if antibacterial, Gram-positive or -negative?	molecular target 1	molecular target 2	molecular target 3	molecular target 4	PubMed ID	doi	Comments	
Paco BG		spiromarmycin	Antibacterial	Antifungal			both	Unknown							
Satria	NEW0000399	metamycin C	Antibacterial				Gram-positive	Unknown							
Satria	NEW0000399	metamycin D	Antibacterial				Gram-positive	Unknown							
Satria	NEW0000448	yangpumicin A	Cytotoxic					DNA							
Aruna Vigneshwari	NEW0000352	2-hydroxysorangiadenosine	Cytotoxic	Antibacterial			Gram-positive	Unknown							
Aruna Vigneshwari	NEW0000387	Loseolamycin A1&A2	Antibacterial	Other			Gram-positive	Unknown				33050154		Combined extract of Loseolomycin A1 & A2  showed herbicidal activity against the weed Agrostis stolonifera	
Aruna Vigneshwari	NEW0000340	Gladiostatin	Antifungal	Cytotoxic									doi.org/10.1002/ange.202009007	Active against ovarian, pancreatic and colon cancer cell lines, inhibits the migration of ovarian cell lines	
Satria	NEW0000294	salinipeptin A	Antibacterial				Gram-positive	Unknown				30753052	10.1021/acschembio.8b01058		
Chagas, Fernanda	NEW0000405 a	maduralactomycin A 	Antibacterial				Gram-positive	Unknown				28463423	10.1021/acs.orglett.0c00601	No antiproliferative cytotoxicity or antiviral activity, maduralactomycin A exhibited moderate antibacterial activity.	
Chagas, Fernanda	NEW0000405 b	Actinospirol A	Unknown					Unknown				28463423	10.1021/acs.orglett.0c00601	No antiproliferative cytotoxicity, nor antiviral and antibacterial activities. 	
Chagas, Fernanda	NEW0000189	Herquline A	Other					Unknown				500499	10.7164/antibiotics.32.786	Weak inhibitor of platelet aggregation, no antimicrobial activity	
Chagas, Fernanda	NEW0000407	terreazepine	Unknown					Unknown				32843555	10.1128/mBio.01691-20		
Nelly/David Meijer	BGC0000018	angolamycin	Antibacterial				Gram-positive					1399843,6706849	https://doi.org/10.7164/antibiotics.45.1231		
Nelly/David Meijer	BGC0000019	angolamycin	Antibacterial				Gram-positive					1399843,6706849	https://doi.org/10.7164/antibiotics.45.1231		
Nelly	BGC0000025	avermectin	Cytotoxic	Antihelmintic	Insecticide							464561,27551889	https://doi.org/10.1007/s00128-020-02990-y		
