															
Name	Antibacterial	Antibacterial target type	Antifungal	Antitumor or Cytotoxic	Other Activity	Reference(s)
abyssomicin	yes	gram pos				1
aurafuron			yes	yes		2
aureothin	yes	gram pos, gram neg	yes			3
avilamycin	yes	gram pos				4
bafilomycin	yes	gram pos	yes			5,6
chlorothricin	yes	gram pos				7
erythromycin	yes	gram pos, gram neg				8
Kedarcidin	yes	gram pos		yes		10
lactimidomycin
			yes	yes		11
neocarzinostatin	yes	gram pos		yes		12
nystatin			yes			13
pactamycin	yes	gram pos, gram neg	yes	yes		14
salinomycin	yes	gram pos				15
soraphen			yes			16
spirangien			yes	yes		17
stambomycin	yes	gram pos		yes		18
stigmatellin			yes			19
tautomycetin			yes	yes		20
tautomycin			yes	yes		20
tiacumicin	yes	gram pos				21
9-methylstreptimidone			yes	yes		22
bongkrekic acid			yes	yes		23
cycloheximide	no		yes			24,25
difficidin	yes	gram neg				26
migrastatin			yes	yes		11
elansolid	yes	gram pos		yes		27
etnangien	yes	gram pos				27
macrolactin	yes	gram pos	yes	yes		28
sorangicin	yes	gram pos, gram neg				30
asukamycin	yes	gram pos	yes	yes		31,32
saxitoxin					neurotoxin	33
anatoxin					neurotoxin	34
actinorhodin	yes	gram pos				36
alnumycin	yes	gram pos		yes		37
aranciamycin	yes	gram pos		yes		39,40
arenimycin	yes	gram pos		yes		41
arimetamycin				yes		42
arixanthomycin	yes	gram pos		yes		43
Auricin	yes	gram pos				44
benastatin	yes	gram pos				45
chartreusin	yes	gram pos		yes		46
chromomycin	yes	gram pos	yes	yes		47
cinerubin	yes	gram pos		yes		48,49
colabomycin	yes	gram pos				50
elloramycin				yes		51
enterocin	yes	gram pos				52
arthrofactin					surfactant	53
aeruginosin					Protease inhibitor	54
fredericamycin	yes	gram pos	yes	yes		55
granaticin	yes	gram pos				56
grincamycin				yes		57
griseorhodin				yes		58
arylomycin	yes	gram pos, gram neg				59
bromoalterochromide	yes			yes		60
landomycin	yes			yes		61
lomaiviticin	yes	gram pos		yes		62
mithramycin	yes	gram pos		yes		63
nogalamycin	yes	gram pos		yes		64
oviedomycin				yes		65
rabelomycin	yes	gram pos				66
resistomycin	yes	gram pos, gram neg	yes	yes		67
saquayamycin	yes	gram pos		yes		68
SF2575	yes	gram pos		yes		69
steffimycin	yes	gram pos		yes		70
tetarimycin	yes	gram pos				71
tetracenomycin	yes	gram pos		yes		72
cetoniacytone				yes		73
A40926	yes	gram pos, gram neg				74
A-47934	yes	gram pos				75
myxoprincomide					predation	76
orfamide			yes		Insecticide, surfactant	77
ristomycin	yes	gram pos				79
serobactin					siderophore	80
sessilin			yes			27
shinorine					UV protection	81
stenothricin	yes	gram pos, gram neg				82
taromycin	yes	gram pos				83
teicoplanin	yes	gram pos				84
thanamycin			yes			85
thiocoraline	yes	gram pos		yes		86
tolaasin			yes			87
valinomycin	yes	gram pos	yes	yes		88
griseoviridin	yes	gram pos	yes			89
WLIP	yes	gram pos	yes			27,90
xantholysin	yes	gram pos,
gram neg	yes			91
Xenoamicin	no		no		Anti-plasmodium	92
bottromycin	yes	gram pos				93
prenylagaramide	no					94
tenuecyclamide	yes					95
trunkamide				yes		96
aeruginosamide				yes		97
circularin	yes					98
cinnamycin	yes	gram pos				99
phenalinolactone	yes	gram pos				100
2-methylisoborneol					Taste/odor	101
geosmin					Taste/odor	101
lactimidomycin			yes	yes		11
hassallidin			yes			102
eponemycin				yes		103
malleobactin					siderophore	104
hormaomycin	yes	gram pos				105
luminmycin				yes		106
fimsbactin					siderophore	107
cichofactin	yes		yes			108
anabaenopeptin					Protease inhibitor	109
leupyrrin			yes			110
massetolide	yes		yes			111,112
lyngbyatoxin				yes		113
cereulide						114
epoxomicin				yes		115
grincamycin				yes		116
cephamycin	yes	gram pos, gram neg				117
CDA	yes	gram pos				118
entianin	yes	gram pos				119
epilancin	yes	gram pos				120
ericin	yes	gram pos				121
geobacillin	yes	gram pos				122
haloduracin	yes	gram pos				123
lacticin	yes	gram pos				124
macedocin	yes	gram pos				125
microbisporicin	yes	gram pos				126
nisin	yes	gram pos				127
planosporicin	yes	gram pos				83
SapB					morphogenesis	128
subtilin	yes	gram pos				129
subtilomycin	yes	gram pos, gram neg	yes			130
clostridiolysin					toxin	131
streptolysin				yes		132
plantazolicin	yes	gram pos				133
cypemycin	yes	gram pos		yes		134
grisemycin	no					135
microviridin					Protease inhibitor	136
polytheonamide				yes		137
sporulation killing factor	yes	gram pos				138
cyclothiazomycin			yes			139
GE2270	yes	gram pos				140
thiocillin	yes	gram pos				141
thiomuracin	yes	gram pos				142
TP-1161	yes	gram pos				143
amylocyclicin	yes	gram pos				144
lactocillin	yes	gram pos				145
